target_index,pixel_scale,FWHM,R_E,r_s_eff,N_pix_expected,A_expected,max_snr_expected,IC_joint_expected,N_pix,A,max_snr,IC_joint
142,0.1,0.4,0.6387281423213398,0.1646529849533212,3,0.030000000000000006,2.0604240725585314,0.7273571549231457,79,0.7900000000000001,3.73145195935965,19.153738412976168
143,0.1,0.4,0.4815861718930465,0.1466961054596042,71,0.7100000000000002,12.43790544068558,14.567793951175284,113,1.1300000000000001,13.406078151115787,23.185362203983196
144,0.1,0.4,0.8569816049667841,0.2703556684123536,12,0.12000000000000002,2.719368997527645,2.3773727678783856,71,0.7100000000000002,4.275615229917792,14.066122209947114
145,0.1,0.4,1.0184580684095286,0.4831627528288789,0,0.0,1.3267591310850702,0.0,63,0.6300000000000001,3.3977889677135624,8.29985055943002
146,0.1,0.4,0.3397337941818414,0.2424306862361654,60,0.6000000000000001,8.301084319236065,5.255117443923036,103,1.0300000000000002,9.50795211105053,9.021284945401213
147,0.1,0.4,0.5250679846112994,0.5471724369768701,0,0.0,0.7467020565470034,0.0,52,0.5200000000000001,3.15620874947971,3.1187078051938837
148,0.1,0.4,1.239049922216181,0.3173805278353057,0,0.0,1.9093897285857098,0.0,64,0.6400000000000001,3.618202143495709,15.615953891905376
149,0.1,0.4,0.5712092993129648,0.2745896651821252,0,0.0,0.16530522903536957,0.0,52,0.5200000000000001,3.2136675600843425,6.760743240412323
150,0.1,0.4,0.9531887370100992,0.287351458301177,0,0.0,0.9953472799713919,0.0,71,0.7100000000000002,3.697850387734333,14.719866206661218
151,0.1,0.4,1.0415273437329573,0.3337682087138022,0,0.0,1.9804267031749043,0.0,65,0.6500000000000001,4.763493827951697,12.677075657446123
152,0.1,0.4,0.3888073130813518,0.2801614137457927,0,0.0,0.5582481378546005,0.0,52,0.5200000000000001,3.154871281550761,4.5103419154679
153,0.1,0.4,0.429448894365242,0.2741391632833327,33,0.33000000000000007,3.063829666816807,3.2309806961541976,94,0.9400000000000002,4.329124587343294,9.20339955874226
154,0.1,0.4,1.5922741128943998,0.6728139633580451,54,0.5400000000000001,2.9405692652140516,7.987237815631969,131,1.3100000000000003,5.904920308090227,19.376447293477554
155,0.1,0.4,0.6813817394289944,0.1991428629808688,0,0.0,0.5362338841054559,0.0,40,0.4000000000000001,3.154955172404106,8.553931198308288
156,0.1,0.4,0.6612838827367842,0.6147888712423352,28,0.28,2.4701542640582805,1.8823483132524252,80,0.8000000000000002,4.1507607235751856,5.378138037864073
157,0.1,0.4,0.93087483295597,0.1552411388974651,0,0.0,1.348033309008294,0.0,46,0.4600000000000001,3.7873587786664498,17.239406794844854
158,0.1,0.4,0.588847725996397,0.3155735746850294,39,0.39000000000000007,3.5569445590786395,4.548277952451474,123,1.2300000000000002,5.4070191524659075,14.34456892696234
159,0.1,0.4,0.7906394124904729,0.1871148459734092,11,0.11000000000000001,2.8541970943772252,2.904978454592779,83,0.8300000000000002,3.6866847137311507,21.919382884654603
160,0.1,0.4,0.8521885588908031,0.1983435711758019,0,0.0,0.673391165206068,0.0,46,0.4600000000000001,3.2115553589821415,12.352515850586675
161,0.1,0.4,0.709367168041367,0.3922444793753222,79,0.7900000000000001,3.0955167846366205,8.929380976329446,121,1.2100000000000002,4.625842137500637,13.676646811846366
162,0.1,0.4,0.501972300192469,0.3850217721212586,0,0.0,0.5466856039933965,0.0,38,0.38000000000000006,3.154875033862237,3.0964072665003677
163,0.1,0.4,0.6293716198521636,0.1155332481012008,0,0.0,1.127061354719029,0.0,43,0.4300000000000001,3.1548750785255413,14.640255131328813
164,0.1,0.4,1.8581324429358144,0.1593804661106921,0,0.0,0.6364318137994525,0.0,43,0.4300000000000001,3.199387710994621,31.33213914007367
165,0.1,0.4,0.6865777597573238,0.304970891932866,3,0.030000000000000006,2.106573999717487,0.4221167769114064,53,0.5300000000000001,3.759802846234312,7.457396392101513
166,0.1,0.4,0.8728526415367847,0.2083727628507483,9,0.09000000000000002,2.286459220860462,2.3562561831371243,107,1.0700000000000003,3.9495249384295943,28.013267955074706
167,0.1,0.4,0.7074776926250845,0.3327523523861976,0,0.0,0.7567115420648793,0.0,49,0.4900000000000001,3.3336658150925476,6.511300124933972
168,0.1,0.4,0.4702798605434442,0.1150928602035972,54,0.5400000000000001,10.106089576614464,13.790555960868517,106,1.0600000000000003,10.946773059289436,27.07035058985301
169,0.1,0.4,0.4736238488343952,0.358681400968202,85,0.8500000000000002,8.759799418721423,7.014934953808171,157,1.5700000000000003,9.925824851805904,12.95699750291627
170,0.1,0.4,1.510766238055029,0.3841041645368243,0,0.0,1.1526782840243517,0.0,61,0.6100000000000001,3.8202193611935167,14.995401805992664
